	HA (%)	FA (%)		HA+FA	MPD		Variable importance ranking for N2					MPD	Dissolved N2	¡÷N2	Dissolved N2O	N2O saturability	¡÷N2O	N2O/(N2O+N2)	N2O Flux
WX_1	94.99	5.01		49.4	0.07		log(NO3-_S+1)	0.438			WY_3	15.63 	527.23 	4.75 	10.62 	81.70 	0.91 	0.0021 	-0.27 
WX_2	64.21	35.79		9.5	0.12		MPD	0.5444			DX_1	10.70 	507.94 	-3.58 	171.06 	1576.53 	160.15 	0.0337 	122.88 
WX_3	92.21	7.79		51.5	0.3						WX_1	0.06 	514.67 	21.04 	27.21 	289.99 	17.81 	0.0053 	29.57 
WY_1	99.14	0.86		24.3	0.56		Variable importance ranking for ¡÷N2				WX_2	0.09 	509.17 	-3.08 	47.22 	462.68 	36.94 	0.0093 	27.05 
WY_2	96.48	3.52		24.4	1.14		log(NH4+_S)	-0.184			WX_3	0.29 	507.37 	-7.44 	54.34 	536.23 	44.12 	0.0107 	10.33 
WY_3	97.56	2.44		115.9	16.06		10^(-pH)	0.2536			WY_1	0.56 	531.85 	-5.82 	11.37 	108.87 	0.74 	0.0021 	0.79 
DX_1	96.98	3.02		34.8	11.14		DO	0.3513			WY_2	1.12 	569.51 	35.10 	12.09 	82.55 	-2.43 	0.0021 	-1.92 
DX_2	93.4	6.6		36.8	42.27		log(NO3-_S+1)	0.4498			LX_3	48.44 	583.70 	59.50 	10.72 	106.41 	0.60 	0.0018 	0.61 
LX_1	94.53	5.47		147.9	49.26		MPD	0.8093			LX_4	41.97 	615.43 	95.41 	10.75 	108.69 	0.80 	0.0017 	0.93 
LX_2	95.67	4.33		68.7	44.18						DX_2	41.69 	553.62 	40.01 	147.02 	1338.32 	135.92 	0.0265 	92.52 
LX_3	90.29	9.71		230.1	73.6						LX_2	76.13 	652.50 	133.88 	10.64 	104.96 	0.45 	0.0016 	0.68 
LX_4	98.11	1.89		216.5	76.65						LX_1	70.40 	689.67 	168.71 	10.97 	109.41 	-2.28 	0.0015 	0.11 
