Humic acid																					Fulvic acid																											
L-MPD							M-MPD							H-MPD							L-MPD							M-MPD							H-MPD							C1s	Humic acid			Fulvic acid		
Binding energy (eV)	Intensity(a.u.)						Binding energy (eV)	Intensity(a.u.)						Binding energy (eV)	Intensity(a.u.)						Binding energy (eV)	Intensity(a.u.)						Binding energy (eV)	Intensity(a.u.)						Binding energy (eV)	Intensity(a.u.)							L-MPD	M-MPD	H-MPD	L-MPD	M-MPD	H-MPD
	C-C	C-O	COO	C=O	Backgnd.	Envelope		C-C	C-O	COO	C=O	Backgnd.	Envelope		C-C	C-O	COO	C=O	Backgnd.	Envelope		C-C	COO	C-O	C=O	Backgnd.	Envelope		C-C	COO	C-O	C=O	Backgnd.	Envelope		C-C	C=O	C-O	Backgnd.	Envelope		C-O	12.62	12.73	19.02	13.56	16.39	13.41
294.4	0	0	0	0	0	217.333	294.45	0	0	0	0	0	181.333	294.45	0	0	0	0	0	200.812	294.45	0	0	0	0	0	204	294.3	0	0	0	0	0	224	294.5	0	0	0	0	264		C=O	8.39	9.2	8.44	5.55	8.38	20.13
294.35	0	0	0	0	0	242.667	294.4	0	0	0	0	0	177.333	294.4	0	0	0	0	0	223.515	294.4	0	0	0	0	0	222.667	294.25	0	0	0	0	0	216	294.45	0	0	0	0	276		C=O + C-O	21.01	21.93	27.46	19.11	24.77	33.54
294.3	0	0	0	0	0	237.333	294.35	0	0	0	0	0	204	294.35	0	0	0	0	0	236.887	294.35	0	0	0	0	0	216	294.2	0	0	0	0	0	228	294.4	0	0	0	0	266.667								
294.25	0	0	0	0	0	220	294.3	0	0	0	0	0	182.667	294.3	0	0	0	0	0	222.259	294.3	0	0	0	0	0	210.667	294.15	0	0	0	0	0	193.333	294.35	0	0	0	0	252								
294.2	0	0	0	0	0	216	294.25	0	0	0	0	0	193.333	294.25	0	0	0	0	0	214.301	294.25	0	0	0	0	0	205.333	294.1	0	0	0	0	0	188	294.3	0	0	0	0	244								
294.15	0	0	0	0	0	233.333	294.2	0	0	0	0	0	209.333	294.2	0	0	0	0	0	202.344	294.2	0	0	0	0	0	209.333	294.05	0	0	0	0	0	204	294.25	0	0	0	0	268								
294.1	0	0	0	0	0	246.667	294.15	0	0	0	0	0	184	294.15	0	0	0	0	0	207.722	294.15	0	0	0	0	0	194.667	294	0	0	0	0	0	198.667	294.2	0	0	0	0	257.333								
294.05	0	0	0	0	0	225.333	294.1	0	0	0	0	0	177.333	294.1	0	0	0	0	0	235.768	294.1	0	0	0	0	0	185.333	293.95	0	0	0	0	0	193.333	294.15	0	0	0	0	276								
294	0	0	0	0	0	232	294.05	0	0	0	0	0	188	294.05	0	0	0	0	0	231.817	294.05	0	0	0	0	0	205.333	293.9	0	0	0	0	0	178.667	294.1	0	0	0	0	246.667								
