log(omcB/16S rRNA)	log(nirS/16S rRNA)		log(omcB/16S rRNA)	nirK/16S rRNA		log(omcS/16S rRNA)	log(nirS/16S rRNA)		log(omcS/16S rRNA)	nirK/16S rRNA		log(pilA/16S rRNA)	log(nirS/16S rRNA)		pilA/16S rRNA	nirK/16S rRNA		log(pilA/16S rRNA)	nosZI/16S rRNA		log(omcB/16S rRNA)	log(nosZII/16S rRNA)		log(omcS/16S rRNA)	log(nosZII/16S rRNA)		log(pilA/16S rRNA)	log(nosZII/16S rRNA)		HA	omcB		FA	omcB		log(omcB)	N2		log(omcB)	¡÷N2
-3.41673	-1.45389		-3.4167333	0.00737		-4.60901	-1.45389		-4.6090123	0.00737		-2.36655292	-1.45389		0.0043	0.00737		-2.3665529	0.00167		-3.41673	-2.125712739		-4.60901	-2.125712739		-2.36655292	-2.125712739		34.43262	8.27E+07		2.43	8.27E+07		7.9	553.6		7.9	40
-3.12311	NA		-3.1231106	0.0178		-4.19	NA		-4.1899969	0.0178		-2.23105837	NA		0.00587	0.0178		-2.2310584	0.000121		-3.12311	-2.151549067		-4.19	-2.151549067		-2.23105837	-2.151549067		133.5175	1.69E+08		14.36	1.69E+08		8.2	583.7		8.2	59.5
-3.22816	-1.54643		-3.2281597	0.0154		-4.7929	-1.54643		-4.792902	0.0154		-2.31862601	-1.54643		0.0048	0.0154		-2.318626	0.00123		-3.22816	-2.219822751		-4.7929	-2.219822751		-2.31862601	-2.219822751		67.44341	1.59E+08		1.3	1.59E+08		8.2	615.4		8.2	95.4
-2.37495	-0.44842		-2.3749501	0.0851		-3.70692	-0.44842		-3.7069162	0.0851		-1.91696757	-0.44842		0.0121	0.0851		-1.9169676	0.00866		-2.37495	-0.756329951		-3.70692	-0.756329951		-1.91696757	-0.756329951		33.73913	3.68E+07		1.05	3.68E+07		7.6	507.9		7.6	-3.6
-3.24002	-1.79514		-3.2400185	0.00147		-4.39279	-1.79514		-4.3927912	0.00147		-2.25111139	-1.79514		0.00561	0.00147		-2.2511114	0.000973		-3.24002	-1.167611193		-4.39279	-1.167611193		-2.25111139	-1.167611193		46.86556	1.44E+07		2.47	1.44E+07		7.1	514.7		7.1	21
-3.79172	-1.57603		-3.7917223	0.00751		-4.79419	-1.57603		-4.7941915	0.00751		-3.11244468	-1.57603		0.000772	0.00751		-3.1124447	0.00302		-3.79172	-2.152189952		-4.79419	-2.152189952		-3.11244468	-2.152189952		6.116598	3.05E+07		3.41	3.05E+07		7.5	509.2		7.5	-3.1
-3.60075	-1.52066		-3.6007525	0.0101		-4.70638	-1.52066		-4.7063795	0.0101		-2.71915811	-1.52066		0.00191	0.0101		-2.7191581	0.00316		-3.60075	-1.933644931		-4.70638	-1.933644931		-2.71915811	-1.933644931		47.52151	3.00E+07		4.01	3.00E+07		7.5	507.4		7.5	-7.4
NA	0.406191		NA	NA		-2.16971	0.406191		-2.1697118	NA		0.531833907	0.406191		3.4	NA		0.53183391	0.0151		NA	1.704582068		-2.16971	1.704582068		0.531833907	1.704582068		24.09595	NA		0.21	NA		NA	531.9		NA	-5.8
NA	NA		NA	NA		-5.22263	NA		-5.222635	NA		-2.38402989	NA		0.00413	NA		-2.3840299	0.000000742		NA	-1.393304105		-5.22263	-1.393304105		-2.38402989	-1.393304105		23.45788	NA		0.86	NA		NA	569.5		NA	35.1
-3.5758	-1.34339		-3.5758049	0.00604		-4.98791	-1.34339		-4.9879118	0.00604		-2.92157048	-1.34339		0.0012	0.00604		-2.9215705	0.00133		-3.5758	-2.062620075		-4.98791	-2.062620075		-2.92157048	-2.062620075		113.0682	7.68E+07		2.82	7.68E+07		7.9	527.2		7.9	4.8
-3.43062	NA		-3.4306212	0.0044		-5.1834	NA		-5.1833951	0.0044		-3.66444414	NA		0.000217	0.0044		-3.6644441	0.000548		-3.43062	-2.411986998		-5.1834	-2.411986998		-3.66444414	-2.411986998		217.5309	2.48E+08		12.59	2.48E+08		8.4	689.7		8.4	168.7
-3.3956	NA		-3.3956047	0.0041		-5.00493	NA		-5.004934	0.0041		-2.63252415	NA		0.00233	0.0041		-2.6325242	NA		-3.3956	-2.314220502		-5.00493	-2.314220502		-2.63252415	-2.314220502		207.1101	1.31E+08		9.37	1.31E+08		8.1	652.5		8.1	133.9
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
