All			L-MPD																
Blank	HS_C		Blank	HS_C															
0.86	69.42		0.86	69.42															
2.5	56.11		2.5	56.11															
1.76	49.56		1.76	49.56															
16.4	39.65																		
23.56	46.66																		
34.75	57.5																		
115.52	156.75																		
76.43	77.33																		
																			
																			
Denitrification rate			N2O concentration																
Blank	HS_C		Blank	HS_C															
3.666	23.647		0.835	0.103															
0.82	5.014		1.098	0.077															
2.763	20.266		0.558	0.485															
6.837	33.332		2.911	0.216															
2.206	4.551		0.532	0.163															
8.528	36.108		0.125	0.148															
39.812	79.782		0.49	0.126															
41.302	77.744		0.117	0.085															
																			
																			
HS concentration (mg g-1 sediment)	Denitrification rate ratio (HS/Blank)																		
9.53 	6.39 	6.76 	6.33 																
51.54 	5.25 	7.00 	5.33 																
24.30 	7.31 	6.71 	7.38 																
36.87 	4.93 	4.77 	4.93 																
147.88 	2.00 	2.00 	3.00 																
68.74 	2.53 	2.35 	2.65 																
230.12 	1.95 	1.95 	2.08 																
216.48 	3.93 	3.86 	3.93 																
																			
																			
Ratio of denitrifying genes expression level (HS_C/Blank)																			
nirS	nirK	nosZI	nosZII	nos/nir															
8.3294	61.1418	69.031	61.3136	8.8343															
1.8195	545.6661	141.9467	604.3771	124.7699															
2.9545	112.5821	63.3915	71.5583	17.1462															
1.3074	1.6272	1.0982	1.7081	1.2727															
10.4651	196.8806	14.1482	141.1457	10.3423															
2.3721	0.0069	0.0185	0.0035	0.0044															
13.5867	0.0039	0.0254	0.0011	0.0007															
1.4633	0.381	1.2018	0.7229	0.6384															
																			
																			
Ratio of EET genes expression level (HS_C/Blank)																			
omcB	omcS	pilA																	
58.481	53.5613	188.3024																	
168.1781	128.1544	63.351																	
0.6378	0.4355	0.4706																	
2.1644	2.6071	6.1022																	
160.0312	781.486	446.64																	
0.0107	0.0082	0.0109																	
0.0038	0.0005	0.003																	
8.5291	1.3297	0.4238																	
																			
Relative expression level (log-transformed)																			
nirS/16S rRNA			nirK/16S rRNA			nosZI/16S rRNA			nosZII/16S rRNA			omcB/16S rRNA			omcS/16S rRNA			pilA/16S rRNA	
All			L-MPD			L-MPD			L-MPD			L-MPD			L-MPD			L-MPD	
Blank	HS_C		Blank	HS_C		Blank	HS_C		Blank	HS_C		Blank	HS_C		Blank	HS_C		Blank	HS_C
-0.84	0.06		-1.91	-0.13		-3.19	-1.33		-1.74	0.07		-4.26	-2.51		-3.85	-2.12		-4.47	-2.19
-0.78	-0.55		-3.05	-0.32		-3.67	-1.57		-2.93	-0.17		-5.1	-2.71		-5.07	-1.71		-5.35	-2.39
-1.16	-0.77		-2.59	-0.7		-3.25	-1.4		-2.06	-0.2		-4.8	-2.6		-4.23	-2.12		-4.55	-2.77
-0.61	-0.54																		
-0.09	0.94																		
-0.85	-0.65																		
-1.35	-0.2																		
-0.57	-0.41																		
