omcB	nirS		omcB	nirK		omcS	nirS		omcS	nirK		pilA	nirS		pilA	nirK		omcB	nosZ II		omcS	nosZ I		HA	omcB		FA	omcB		omcB	N2		omcB	¡÷N2
8.0 	9.9 		8.0 	9.3 		6.6 	9.9 		6.6 	9.3 		9.0 	9.9 		9.0 	9.3 		8.0 	9.2 		6.6 	8.5 		34.4 	1.02E+08		2.4 	1.02E+08		8.0 	552.7 		8.0 	40.5 
7.9 	9.9 		7.9 	9.2 		6.7 	9.9 		6.7 	9.2 		9.0 	9.9 		9.0 	9.2 		7.9 	9.2 		6.7 	8.6 		34.4 	8.46E+07		2.4 	8.46E+07		7.9 	553.5 		7.9 	36.8 
7.8 	9.8 		7.8 	9.1 		6.8 	9.8 		6.8 	9.1 		8.9 	9.8 		8.9 	9.1 		7.8 	9.2 		6.8 	8.5 		34.4 	6.16E+07		2.4 	6.16E+07		7.8 	554.8 		7.8 	42.7 
8.3 	NA		8.3 	9.5 		7.3 	NA		7.3 	9.5 		9.1 	NA		9.1 	9.5 		8.3 	9.1 		7.3 	7.4 		133.5 	1.86E+08		14.4 	1.86E+08		8.3 	583.8 		8.3 	58.8 
8.1 	NA		8.1 	9.6 		7.2 	NA		7.2 	9.6 		9.1 	NA		9.1 	9.6 		8.1 	9.2 		7.2 	7.4 		133.5 	1.38E+08		14.4 	1.38E+08		8.1 	584.1 		8.1 	60.5 
8.3 	NA		8.3 	9.7 		6.9 	NA		6.9 	9.7 		9.2 	NA		9.2 	9.7 		8.3 	9.2 		6.9 	7.4 		133.5 	1.83E+08		14.4 	1.83E+08		8.3 	583.2 		8.3 	59.2 
8.2 	9.9 		8.2 	9.6 		6.7 	9.9 		6.7 	9.6 		9.1 	9.9 		9.1 	9.6 		8.2 	9.2 		6.7 	8.5 		67.4 	1.72E+08		1.3 	1.72E+08		8.2 	613.7 		8.2 	97.1 
8.2 	9.9 		8.2 	9.6 		6.7 	9.9 		6.7 	9.6 		9.1 	9.9 		9.1 	9.6 		8.2 	9.2 		6.7 	8.6 		67.4 	1.64E+08		1.3 	1.64E+08		8.2 	615.7 		8.2 	94.5 
8.1 	9.9 		8.1 	9.6 		6.6 	9.9 		6.6 	9.6 		9.1 	9.9 		9.1 	9.6 		8.1 	9.2 		6.6 	8.5 		67.4 	1.41E+08		1.3 	1.41E+08		8.1 	616.9 		8.1 	94.7 
7.6 	9.5 		7.6 	8.9 		6.2 	9.5 		6.2 	8.9 		7.9 	9.5 		7.9 	8.9 		7.6 	9.2 		6.2 	7.8 		33.7 	3.63E+07		1.1 	3.63E+07		7.6 	510.7 		7.6 	2.6 
7.6 	9.5 		7.6 	8.9 		6.2 	9.5 		6.2 	8.9 		8.3 	9.5 		8.3 	8.9 		7.6 	9.2 		6.2 	7.9 		33.7 	3.59E+07		1.1 	3.59E+07		7.6 	506.7 		7.6 	-5.4 
7.6 	9.5 		7.6 	8.9 		6.2 	9.5 		6.2 	8.9 		7.7 	9.5 		7.7 	8.9 		7.6 	9.2 		6.2 	7.9 		33.7 	3.83E+07		1.1 	3.83E+07		7.6 	506.4 		7.6 	-8.0 
7.2 	8.6 		7.2 	7.5 		5.9 	8.6 		5.9 	7.5 		8.0 	8.6 		8.0 	7.5 		7.2 	9.2 		5.9 	7.2 		46.9 	1.74E+07		2.5 	1.74E+07		7.2 	514.2 		7.2 	21.2 
7.2 	8.6 		7.2 	7.4 		6.0 	8.6 		6.0 	7.4 		8.3 	8.6 		8.3 	7.4 		7.2 	9.2 		6.0 	7.3 		46.9 	1.62E+07		2.5 	1.62E+07		7.2 	515.1 		7.2 	21.6 
7.0 	8.7 		7.0 	7.7 		6.1 	8.7 		6.1 	7.7 		8.1 	8.7 		8.1 	7.7 		7.0 	9.2 		6.1 	7.5 		46.9 	9.68E+06		2.5 	9.68E+06		7.0 	514.7 		7.0 	20.4 
7.4 	9.6 		7.4 	9.0 		6.4 	9.6 		6.4 	9.0 		8.3 	9.6 		8.3 	9.0 		7.4 	9.1 		6.4 	8.6 		6.1 	2.47E+07		3.4 	2.47E+07		7.4 	509.0 		7.4 	-3.1 
7.5 	9.7 		7.5 	9.2 		6.5 	9.7 		6.5 	9.2 		8.2 	9.7 		8.2 	9.2 		7.5 	9.1 		6.5 	8.9 		6.1 	2.99E+07		3.4 	2.99E+07		7.5 	508.8 		7.5 	-3.3 
7.6 	9.8 		7.6 	9.2 		6.5 	9.8 		6.5 	9.2 		8.0 	9.8 		8.0 	9.2 		7.6 	9.1 		6.5 	8.7 		6.1 	3.70E+07		3.4 	3.70E+07		7.6 	509.7 		7.6 	-2.9 
7.5 	9.6 		7.5 	9.0 		6.3 	9.6 		6.3 	9.0 		8.4 	9.6 		8.4 	9.0 		7.5 	9.2 		6.3 	8.5 		47.5 	3.38E+07		4.0 	3.38E+07		7.5 	505.5 		7.5 	-9.3 
7.5 	9.6 		7.5 	9.1 		6.5 	9.6 		6.5 	9.1 		8.4 	9.6 		8.4 	9.1 		7.5 	9.1 		6.5 	8.6 		47.5 	3.31E+07		4.0 	3.31E+07		7.5 	507.6 		7.5 	-7.3 
7.4 	9.5 		7.4 	9.1 		6.3 	9.5 		6.3 	9.1 		8.3 	9.5 		8.3 	9.1 		7.4 	9.1 		6.3 	8.7 		47.5 	2.32E+07		4.0 	2.32E+07		7.4 	509.0 		7.4 	-5.8 
NA	7.9 		NA	NA		5.6 	7.9 		5.6 	NA		7.9 	7.9 		7.9 	NA		NA	9.3 		5.6 	5.6 		24.1 	NA		0.2 	NA		NA	533.8 		NA	-4.7 
NA	7.9 		NA	NA		5.2 	7.9 		5.2 	NA		8.1 	7.9 		8.1 	NA		NA	9.2 		5.2 	5.9 		24.1 	NA		0.2 	NA		NA	531.5 		NA	-6.0 
NA	8.0 		NA	NA		5.2 	8.0 		5.2 	NA		8.2 	8.0 		8.2 	NA		NA	9.2 		5.2 	5.6 		24.1 	NA		0.2 	NA		NA	530.2 		NA	-6.8 
NA	NA		NA	NA		5.3 	NA		5.3 	NA		8.2 	NA		8.2 	NA		NA	9.1 		5.3 	4.4 		23.5 	NA		0.9 	NA		NA	565.8 		NA	33.6 
NA	NA		NA	NA		5.1 	NA		5.1 	NA		8.2 	NA		8.2 	NA		NA	9.1 		5.1 	4.4 		23.5 	NA		0.9 	NA		NA	569.5 		NA	33.9 
NA	NA		NA	NA		5.4 	NA		5.4 	NA		8.0 	NA		8.0 	NA		NA	9.1 		5.4 	4.4 		23.5 	NA		0.9 	NA		NA	573.3 		NA	37.7 
7.7 	10.0 		7.7 	9.2 		6.5 	10.0 		6.5 	9.2 		8.4 	10.0 		8.4 	9.2 		7.7 	9.4 		6.5 	8.6 		113.1 	5.27E+07		2.8 	5.27E+07		7.7 	526.2 		7.7 	4.0 
7.9 	10.2 		7.9 	9.2 		6.5 	10.2 		6.5 	9.2 		8.7 	10.2 		8.7 	9.2 		7.9 	9.4 		6.5 	8.7 		113.1 	8.10E+07		2.8 	8.10E+07		7.9 	526.7 		7.9 	4.5 
8.0 	10.2 		8.0 	9.3 		6.5 	10.2 		6.5 	9.3 		8.4 	10.2 		8.4 	9.3 		8.0 	9.4 		6.5 	8.5 		113.1 	9.67E+07		2.8 	9.67E+07		8.0 	528.9 		8.0 	5.8 
8.5 	NA		8.5 	9.5 		6.7 	NA		6.7 	9.5 		8.3 	NA		8.3 	9.5 		8.5 	9.4 		6.7 	8.6 		217.5 	3.13E+08		12.6 	3.13E+08		8.5 	693.6 		8.5 	170.9 
8.4 	NA		8.4 	9.5 		6.6 	NA		6.6 	9.5 		8.0 	NA		8.0 	9.5 		8.4 	9.4 		6.6 	8.6 		217.5 	2.65E+08		12.6 	2.65E+08		8.4 	684.8 		8.4 	162.2 
8.2 	NA		8.2 	9.5 		6.6 	NA		6.6 	9.5 		8.1 	NA		8.1 	9.5 		8.2 	9.4 		6.6 	8.6 		217.5 	1.66E+08		12.6 	1.66E+08		8.2 	690.6 		8.2 	173.0 
7.9 	NA		7.9 	9.1 		6.5 	NA		6.5 	9.1 		8.8 	NA		8.8 	9.1 		7.9 	9.2 		6.5 	NA		207.1 	8.88E+07		9.4 	8.88E+07		7.9 	654.0 		7.9 	137.4 
8.1 	NA		8.1 	9.1 		6.5 	NA		6.5 	9.1 		8.9 	NA		8.9 	9.1 		8.1 	9.2 		6.5 	NA		207.1 	1.37E+08		9.4 	1.37E+08		8.1 	652.0 		8.1 	132.6 
8.2 	NA		8.2 	9.1 		6.6 	NA		6.6 	9.1 		8.9 	NA		8.9 	9.1 		8.2 	9.2 		6.6 	NA		207.1 	1.68E+08		9.4 	1.68E+08		8.2 	651.5 		8.2 	131.7 
