	MPD	Dissolved N2	¡÷N2	Dissolved N2O	N2O saturability	¡÷N2O	N2O/(N2O+N2)	N2O Flux		Blank	HS_E	HS_C		D		A	
WY_3	15.56 	526.15 	3.98 	11.34 	86.86 	1.21 	0.00 	-0.11 		1.99	154.17	49.71		Blank	HS_E	Blank	HS_E
WY_3	16.06 	526.68 	4.51 	11.24 	86.08 	0.67 	0.00 	-0.47 		1.93	195.58	51.12		0.239	3.105	0.047	0.346
WY_3	15.28 	528.86 	5.75 	9.28 	72.17 	0.84 	0.00 	-0.23 		1.87	174.77	49.4		0.167	3.105	0.19	0.346
DX_1	10.17 	510.69 	2.60 	125.08 	1167.42 	114.30 	0.02 	55.61 						0.239	4.061	0.025	0.621
DX_1	11.14 	506.71 	-5.40 	196.05 	1805.95 	185.12 	0.04 	216.08 									
DX_1	10.80 	506.41 	-7.95 	192.05 	1756.22 	181.02 	0.04 	96.96 									
WX_1	0.05 	514.22 	21.15 	10.84 	115.81 	1.46 	0.00 	2.34 									
WX_1	0.07 	515.07 	21.59 	35.33 	376.93 	25.94 	0.01 	45.18 									
WX_1	0.06 	514.72 	20.39 	35.46 	377.23 	26.04 	0.01 	41.19 									
WX_2	0.08 	509.03 	-3.08 	36.09 	353.87 	25.81 	0.01 	12.66 									
WX_2	0.12 	508.84 	-3.26 	49.69 	487.08 	39.41 	0.01 	26.95 									
WX_2	0.07 	509.66 	-2.90 	55.89 	547.09 	45.60 	0.01 	41.53 									
WX_3	0.27 	505.51 	-9.30 	56.46 	557.21 	46.25 	0.01 	3.00 									
WX_3	0.30 	507.55 	-7.26 	57.96 	572.01 	47.75 	0.01 	12.40 									
WX_3	0.30 	509.04 	-5.77 	48.58 	479.48 	38.37 	0.01 	15.58 									
WY_1	0.55 	533.78 	-4.72 	9.35 	89.32 	-1.32 	0.00 	-0.96 									
WY_1	0.56 	531.53 	-5.98 	11.86 	113.53 	1.23 	0.00 	1.21 									
WY_1	0.56 	530.24 	-6.78 	12.91 	123.75 	2.30 	0.00 	2.12 									
WY_2	1.12 	565.78 	33.64 	14.20 	97.64 	-0.21 	0.00 	-0.33 									
WY_2	1.14 	569.47 	33.93 	7.30 	49.55 	-7.27 	0.00 	-5.48 									
WY_2	1.11 	573.28 	37.74 	14.76 	100.48 	0.19 	0.00 	0.04 									
LX_3	47.17 	583.77 	58.79 	9.99 	98.94 	-0.15 	0.00 	-0.09 									
LX_3	49.26 	584.09 	60.52 	11.19 	111.25 	1.09 	0.00 	1.04 									
LX_3	48.89 	583.22 	59.18 	10.98 	109.05 	0.87 	0.00 	0.89 									
LX_4	39.76 	613.73 	97.10 	10.88 	111.23 	1.05 	0.00 	1.00 									
LX_4	44.18 	615.70 	94.46 	10.83 	109.14 	0.84 	0.00 	0.83 									
LX_4	41.98 	616.86 	94.69 	10.52 	105.72 	0.50 	0.00 	0.97 									
DX_2	41.02 	552.65 	40.55 	184.03 	1679.12 	172.99 	0.03 	136.95 									
DX_2	42.27 	553.46 	36.82 	71.87 	646.45 	60.65 	0.01 	55.50 									
DX_2	41.77 	554.76 	42.66 	185.16 	1689.40 	174.12 	0.03 	85.10 									
LX_2	75.59 	654.01 	137.38 	10.77 	106.92 	0.65 	0.00 	0.48 									
LX_2	76.65 	651.96 	132.57 	10.32 	101.55 	0.10 	0.00 	0.23 									
LX_2	76.16 	651.53 	131.69 	10.83 	106.41 	0.59 	0.00 	1.32 									
LX_1	68.89 	693.60 	170.94 	11.26 	112.47 	-1.63 	0.00 	0.08 									
LX_1	73.60 	684.80 	162.17 	10.72 	107.03 	-1.73 	0.00 	0.18 									
LX_1	68.71 	690.60 	173.02 	10.92 	108.72 	-3.46 	0.00 	0.06 									
