	L-MPD	M-MPD	H-MPD	FmnA	FmnB	DmkA	DmkB	Ndh2	EetA	EetB	DFE_0464	DFE_0449	DFE_0461	DFE_0448	DFE_0462	DFE_0465	DFE_0451	DFE_0463	napA	napB	narG	narH	nirB	nirD	octR	norB	nosD	nosZ
DX.1	0.092 	0.007 	0.040 	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DX.13	0.053 	0.009 	0.030 	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DX.15	0.112 	0.003 	0.059 	0	1	0	2	1	0	0	1	2	4	1	4	2	2	1	0	0	0	0	0	0	0	0	0	0
DX.24	0.146 	0.013 	0.084 	0	0	1	2	0	0	0	0	1	1	2	1	0	2	2	1	1	0	0	0	0	0	0	0	0
DX.27	0.070 	0.017 	0.037 	0	1	0	3	1	1	1	0	1	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0
DX.30	0.114 	0.044 	0.068 	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DX.32	0.113 	0.007 	0.157 	0	1	0	2	0	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
DX.36	0.084 	0.010 	0.053 	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
DX.40	0.429 	0.029 	0.318 	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
DX.54	0.075 	0.043 	0.127 	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DX.55	0.259 	0.258 	0.180 	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DX.57	0.066 	0.005 	0.054 	0	0	1	2	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
DX.59	0.234 	0.041 	0.118 	0	0	0	2	0	0	0	0	2	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0
DX.66	0.285 	0.012 	0.242 	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DX.67	0.055 	0.021 	0.023 	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DX.76	0.184 	0.106 	0.154 	0	3	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0
DX.77	0.059 	0.002 	0.080 	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
DX.78	0.110 	0.024 	0.079 	0	0	0	1	0	0	0	0	2	4	3	5	2	1	0	0	0	0	0	0	0	0	0	0	0
LX.25	0.000 	0.112 	0.000 	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LX.27	0.157 	0.154 	0.084 	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LX.31	0.007 	0.068 	0.002 	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LX.32	0.000 	0.077 	0.000 	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LX.36	0.000 	0.075 	0.000 	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LX.39	0.015 	0.058 	0.009 	0	0	0	0	1	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0
LX.7	0.005 	0.092 	0.000 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LXG.1	0.007 	0.000 	0.419 	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
LXG.19	0.048 	0.034 	0.159 	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0
LXG.21	0.000 	0.000 	0.103 	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
LXG.32	0.072 	0.014 	0.129 	0	0	0	2	1	0	0	0	3	0	3	1	0	1	1	0	0	0	0	0	0	1	0	0	0
LXG.34	0.003 	0.000 	0.164 	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LXG.35	0.011 	0.013 	0.211 	0	1	0	2	0	1	1	0	1	2	4	2	0	1	1	0	0	0	0	0	0	0	0	0	0
LXG.40	0.002 	0.003 	0.152 	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LXG.48	0.000 	0.000 	0.168 	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
LXG.5	0.000 	0.000 	0.665 	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LXG.52	0.031 	0.003 	0.092 	1	1	1	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LXG.62	0.078 	0.010 	0.223 	0	2	1	2	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LXG.68	0.009 	0.000 	0.077 	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LXG.70	0.045 	0.003 	0.102 	0	1	0	1	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1
LXG.73	0.000 	0.000 	0.078 	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LXG.86	0.012 	0.000 	0.176 	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LXG.9	0.000 	0.000 	0.265 	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
